studentId,name,email,course
S001,Aarav Sharma,aarav.sharma@college.edu,Computer Science
S002,Priya Patel,priya.patel@college.edu,Computer Science
S003,Rohan Mehta,rohan.mehta@college.edu,Information Technology
S004,Sneha Iyer,sneha.iyer@college.edu,Computer Science
S005,Karan Gupta,karan.gupta@college.edu,Information Technology
S006,Ananya Bose,ananya.bose@college.edu,Electronics
S007,Vikram Nair,vikram.nair@college.edu,Computer Science
S008,Divya Reddy,divya.reddy@college.edu,Electronics
S009,Arjun Singh,arjun.singh@college.edu,Information Technology
S010,Meera Joshi,meera.joshi@college.edu,Computer Science
